Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Ragi and Wheat Roti,Homemade, 1 ROTI,70,12,2,2
Ragi Mudde,Indian Ragi, 100 g,340,72,2,8
Ragi Idly,Ragi Idly, 1 plate,80,0,0,0
Ragi Beads,Ragi, 0.5 cup,100,0,0,0
Ragi flakes,Ragi flakes, 30 g,112,24,1,3
Ragi,Ragi, 100 g,362,77,1,11
Sankati Ragi,Sankati Ragi, 1 Cup,220,44,2,0
Ragi,Organic Ragi malt., 1 cup,328,72,1,7
ragi,Ragi Biscuits, 1 pack,551,57,33,6
Ragi,Generic, 100 g,325,69,2,9
Akki Roti Rice Roti,Akki Roti, 1 Roti,152,30,2,3
Akki Roti,Home Made, 1 each,158,15,9,2
Kadai Akki Roti,Home, 1 roti,150,29,1,5
Akki Rotti,Homemade, 30 g,150,24,3,2
akki rotti,Maiyas, 1 roti,200,26,9,3
Queijo Musarela Akki,Akki, 1 Porcão De 30g,102,0,8,7
Akki Rotti,House Made, 1 rotti,115,30,0,1
Akki Otti,Coorg, 5 rotis,152,29,2,3
Akki Tari,Vijay, 100 g,342,75,1,7
Apresuntado akki,Aurora, 100 g,43,1,2,6
Roti,Roti, 4 bakje,122,16,6,2
Akki Rotti (Rice Crepe),Home Made, 1 cooked piece,200,6,1,1
Tawa Roti,Roti, 10 cm slice,106,22,1,4
Roti,Tandoori Roti, 1 roti,120,20,3,4
Roomali Roti,Roti, 1 roti (large),80,10,1,2
Steak Roti,Roti, 3.8 oz,260,3,16,27
Roti,Trinidad Roti, 1 roti,325,36,17,8
Biscuit Avena Chocolate,Mr Akki, 1 biscuit = 10 g,45,6,2,1
Roti Lam,Roti, 1 portie,815,78,33,53
Roti,Roti Atta, 0.25 cup,120,20,1,4
Gulab Jamoon,Homemade, 2 balls,340,16,7,4
gulab jamoon,taaza, 37 gram,280,48,8,3
Icecream,Arun gulab jamoon, 1 scoop,310,39,15,6
Gulab Jamoon/Jamun,Indian - Sv, 2 balls,387,0,2,0
Gulab jamoon mix,Nandini, 100 g,400,54,13,18
Goolab Jamoon,"Naps, Trinidad"," Trinidad, 111 g",305,35,17,3
Murmura,Gulab, 1 cup (14.0g),56,13,0,1
KALA JAMOON,Taaza, 1 peice,280,48,8,3
Gulab Jamuns,Amul, 32 g,90,18,2,1
Gulab Jamun,Generic, 1 piece,143,17,8,2
Gulab Jaman,Homemade, 1 ball,142,17,8,2
Gulab Jamun,Haldiram, 1 gulab jamun,90,7,6,3
Gulab Jamun,Test, 100 g,360,60,10,2
Gulab Jamun,Ambala, 100 gram,317,50,12,5
Gulab Jamon,Trinidad, 1 piece,107,0,0,0
Gulab Jamun,Swagat, 1 ball,143,17,8,2
Gulab Jamun,Sweets, 1 medium,175,0,0,0
Gulab Jamun,Bikaji, 1 oz,96,19,1,1
Gulab Jamun,Brars, 1 piece,160,24,7,4
Gulab Jamun,Royal, 100 g,271,48,8,2
Kesari Bath,Udipi, 1 cup,620,0,38,7
Kesari Bath,Maiyas, 100 g,248,44,7,2
Kesari bath,Sankethis, 100 gram,408,82,7,5
Kesari Bath,Mamatha Foods, 1 pack,380,59,14,4
Rava Banana Kesari Bath,Homemade-P, 1 cup,300,0,0,0
Bath Bun,Bath Bun, 1 Bun,200,0,0,0
Kesari,(Jhs), 1 piece (60g),188,31,6,2
Pineapple Kesari,Homemade, 100 grams,390,0,0,0
Rava Kesari,Rass, 10 grams,30,5,1,3
Kesari Jivan,Zandu, 1 tbsp,40,4,0,0
Low Fat Rava Kesari,Coolray - Healthy Rava Kesari, 75 gms,115,16,2,4
Bath,Epsom, 2 cups,0,0,0,0
Kesari  halwa,MTR, 1 cup,256,51,4,4
Rava Kesari,Home Made, 100 gms,223,42,6,3
Kesari Milk Masala,Everest, 1 tsp,23,2,0,1
Gem,Bath Ales, 1 pint,267,0,0,0
Shavige Bath,Indian, 1 serving,270,47,8,2
Bath Oliver,Fortt's, 1 biscuit,50,8,2,1
Bath Bun,Sainsbury's, 1 bun,210,36,5,5
Chorizo,Bath Pig, 100 g,440,3,36,25
Maiyas,Mysore pak, 15 grams,92,8,7,1
Mysore Pak,Lal, 100 g,716,54,37,13
Mysore pak,Anand, 1 piece,124,23,3,0
Mysore Pak,(Jhs), 1 piece (44g),250,26,16,1
Mysore Pak,GRB, 1 piece,130,10,9,1
mysore pak,krishna sweets, 1 piece,250,20,18,2
Mysore Pak,Maiyas, 1 box,538,56,33,5
Mysore Pak,Bikana, 30 gram,180,13,14,1
Mysore Pak,Nandini, 100 gram,589,51,41,4
Himalaya Fresh Desi Ghee Mysore Pak,Himalaya Fresh Mysore Pak, 50 g,245,32,12,2
Mysore pak,Anand Bhog, 1 piece,467,42,33,0
Mysore Pak,Nandini Milk Dairy, 25 grams,154,13,11,1
Mysore Pak,Nandini - Delete This., 25 g1piece,617,50,44,5
Ghee Mysore Pak,GRB, 1 piece,250,21,18,2
lal sweets,mysore pak, 2 piece,526,57,32,3
Mysore Pak,Jain Foods, 2 oz,260,32,14,4
mysore pak,lal sweet, 2 piece,526,57,32,3
Mysore Pak-South Indian Sweet,Indian, 1 pc,197,26,10,2
Mysore Pak,ASHA Sweet Center, 101 g,509,70,23,5
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Mutton Soup,Indian, 1 bowl,274,10,14,27
Mutton Kottu,Indian, 1 serving,877,102,35,39
Mutton Gravy,Parampara, 100 g,418,41,26,6
"Soup, Mutton, Indian",Generic, 1 g,107,0,2,30
