Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Custard & Apple Fruit Bar,Select, 37.5 g,131,23,3,2
Mango/Vanilla,Dole Fruit & Custard, 123 g,117,22,3,0
Fruit In Custard - Mango,Dole, 123 g,115,21,3,1
Panjiri,Generic, 1 cup cooked,512,54,31,5
Panjiri Ladoo,Kaleva, 100 g,547,48,35,10
Panjiri ,Karison, 43 g,310,26,19,10
Panjiri  Laddu,Jobs is, 30 g,141,16,8,2
Panjiri Ladoo,Karisom, 49 g,310,28,19,10
Panjiri Ladoo,Harish, 100 gram,549,56,32,9
Panjiri laddoo,Chhapan bhog, 1 laddoo,178,21,10,2
Panjiri/nut & Seed Biscuits,Homemade, 80 g,320,38,0,10
the Most Accurate One!,Generic Panjiri, 1 cup,100,1,1,50
Panjiri/multi-seed & Nut Biscuits,Homemade, 80 g,370,38,20,8
Panjiri/multi-seeds & Nuts Biscuits,Homemade, 80 g,370,38,19,10
Balushahi,Test, 50 g,250,50,12,2
Balushahi,Ambala, 1 each,312,29,21,2
Balushahi,Homemade (Sujay), 32.7 g,132,16,7,2
balushahi,chennai sweets, 40 g,215,18,14,4
Balushahi (Correct),Indian Sweet, 32.7 g,132,16,7,2
the Most Accurate One!,Generic Balushahi, 1 cup,100,1,1,50
Churma,Homemade, 110 Gram,365,37,23,5
Churma Ladoo,Generic, 1 ladoo,218,17,15,3
Churma Laddu,Fit, 1 serving,365,37,23,5
Dal Bati Churma,Chokhi Dhani, 100 g,320,30,5,4
the Most Accurate One!,Generic Churma, 1 cup,100,1,1,50
the Most Accurate One!,Generic Dal Bati Churma, 1 cup,100,1,1,50
Chenna Murki,Homemade, 50 gm,260,0,0,0
chena poda,omfed, 100 gram,310,33,14,13
Pizza Chena,Generic, 226.3 g,575,43,30,32
Hot Murki,Singhs Snacks, 100 grams,84,7,4,3
Chena Pulishery,Never Say Never, 0.5 cup Cooked,97,12,3,4
Chena Pulissery,Never Say Never, 0.5 cup,100,0,0,0
raw organic   handmade chocolate,CHENA, 1 serving,56,2,5,1
Raw organic handmade chocolate  -  wildberry rose,Chena, 9 gram,49,2,4,1
Raw Organic Handmade Chocolate - Mint Matcha,Chena, 9 gram,55,3,5,1
Kaju Roll,Nanak, 1 roll,60,8,3,1
Kaju Roll,Haldiram's, 1 piece,120,10,8,3
Kaju Roll,Bikaji, 1 piece: 20 g,120,10,8,3
Kaju Roll ,Swad, 1 piece,120,10,8,3
Kaju,Kaju, 100 gr,581,21,47,19
kaju pista roll,brar, 50 g,195,26,8,6
Kaju roll,Haldiram, 8 g,38,5,2,1
Kaju Roll,Bikano, 2 pieces,201,21,11,4
kaju roll,apna taste, 1 piece,100,13,4,3
Mithraism,Halidiram  Kaju Roll, 1 pc (20g),120,10,8,3
barfi,brar's  kaju pista roll, 3 rolls,195,0,0,0
Kaju Roll Costco,Nanak, 1 Roll,45,3,0,2
Kesar Kaju Roll,SGB, 100 gram,511,45,31,13
Fresh Kaju Pista Roll,Brar's, 50 g,195,26,8,6
Çiğ Kaju,Kaju, 1 adet,11,1,1,0
Haldiram Kaju Burfi,Haldiram Kaju Burfi, 1 burfi,50,7,2,1
"Kaju Pista Roll """,Baps Shayona, 2.5 pc,150,18,9,3
Kaju ,Peyman, 100 g,574,32,46,15
Kaju Pista Roll,Baps Shayona, 2.5 pc,150,18,9,3
All Natural Kaju Pista Roll,Himalya Fresh, 50 g (6 rolls),232,27,13,5
Jalebi / Imarti,Test, 100 g,500,80,18,4
Imarti One Piece,Homemade, 1 piece,150,0,0,0
Imarti,Rehmat-e-shereen, 40 g,200,32,7,1
the Most Accurate One!,Generic Imarti, 1 cup,100,1,1,50
Thepla,Method Thepla, 1 pc,95,13,5,3
Thepla,Shana, 60 g,215,26,10,5
Methi Thepla,Mom's, 1 piece,95,15,3,2
Methi Thepla,Homemade, 50 gm,127,17,5,4
Thepla,Home Made, 1 (18gm),70,12,3,2
Methi Thepla,Swad, 1 thepla 45 g,124,22,3,3
Thepla,Greek, 1 piece,299,35,16,8
Methi Thepla,Taj, 1 cooked,192,34,4,5
Methi Thepla,Ashoka, 1 thepla,220,23,12,4
Methi thepla,Maniarr's, 1 Pcs,81,11,3,2
Thepla,Haldiram, 100 gram,411,50,20,8
Thepla,Shivam, 100 gram,194,52,17,9
Methi Thepla,Amba, 1 roti,110,9,2,2
Thin Thepla,Rass, 1 roti,68,8,4,2
Methi Thepla,Home Made, 1 medium,60,0,0,0
Masala Chapatti Thepla,Shana, 1 chapati (thepla),215,26,10,5
Methi Thepla,Maitrin, 1 medium (~ 16.5g),48,9,1,1
Palak Thepla,Home Made, 1 medium,60,0,0,0
Methi Thepla,Dina, 100 gram,278,54,3,8
Methi Thepla,Harbhole, 1 packet,612,72,26,22
Mishti Doi,Nilgiris, 100 g,171,23,7,4
Mishti Doi ,Sudha, 1 cup,120,21,3,4
mishti doi,epigamia, 100 gram,165,24,6,4
mishti doi,mithaighar, 100 gram,28,6,4,3
Mishti doi,Flourish, 85 gram,117,17,4,3
Mishti Doi,Amul Flaavyo, 100 g,115,17,3,4
mishti doi,mother diary, 100 gram,179,27,6,4
Sweet Curd,Mishti Doi, 90 gram,167,24,6,4
Mishti Doi,Mexim Australia, 1 bowl,111,2,5,13
Bengali Sweet Yogurt,Mishti Doi, 1 matki/kulhad,161,15,8,8
Mishti Doi,Happy milk, 100 g,165,24,5,4
Mishti Doi,Milky Mist, 100 g,176,26,6,5
Kefir Mishti Doi,Mo’s, 200 ml,178,23,7,6
Mishti Doi (85g),Mother Dairy, 85 g,152,23,5,4
mishti doi,mother dairy, 85 gram,143,22,3,4
sweetened yoghurt,mishti doi, 91 grams,167,24,6,4
Mishti doi lassi,Mother dairy, 1 bottle(200ml),230,38,6,5
Mishti Doi - Bengali Sweet Curd,Mother Diary, 85 g,152,23,5,4
MISHTI DOI ( SWEET CURD) ,Mother Dairy Calcutta, 1 cup,146,25,3,5
mishti doi ( clay pot yogurt),crystal dairy, 101 gm,123,19,7,6
Rava Laddu,Adyar Ananda Bhavan, 1 ball,150,21,6,1
the Most Accurate One!,Generic Rava Laddu, 1 cup,100,1,1,50
laddu,peanut laddu, 1 piece,131,3,12,5
Rajgira Laddu,Rajgira Laddu, 100 g,80,59,4,0
laddu,falli laddu, 1 pack,544,100,60,24
Laddu,Generic, 1 ball,246,26,15,4
laddu,lalaji besan laddu, 450 gram,477,62,22,8
Rava Payasam/kheer,Rava Payasam/kheer, 1 bowl,350,13,4,10
Sesame sweet laddu,Sesame flat laddu, 1 ounce,63,12,7,3
Cooked,Rava, 1 cup,360,73,1,13
Besan Laddu,Haldiram, 1 piece,190,21,11,3
Laddu,Rajgeera, 100 gram,440,78,9,12
Besan Laddu,Generic, 50 gms,250,25,10,2
Laddu,Govinda, 100 g,533,40,37,8
Bundi Laddu,Generic, 50 g,185,0,8,0
Laddu,Til (Sesame), 1 laddu (20 g),80,25,46,19
Motichoor Laddu,Anand, 97.4 g,240,26,14,3
Besan Laddu,Homemade, 1 piece,250,0,15,3
Rava Dosa,Mtr, 1 piece,80,21,7,3
Laddu,(Jhs), 1 piece (60g),265,33,13,4
Galouti Kebab,Gazebo, 1 kebab,110,0,0,0
Galouti Kebab (84256.0),Eurest, 3 ounce,153,5,9,13
Chicken Galouti Kebab,ITC Master Chef Frozen, 100 g,157,4,9,16
Rajma Galouti,ITC, 100 gms,158,29,2,7
Piadina Kebab,Kebab, 1 porzione,630,60,30,30
Donna Kebab,Kebab, 0.5 kebab,250,60,20,35
Kyllinge Kebab,Kebab, 100 g,113,1,3,20
Kebab,Kebab pizza, 175 g,382,36,17,20
Kebab Plat,Kebab Plat, 1 plat,488,49,23,17
Durum Kebab,Durum Kebab, 100 g,229,22,9,12
Doner Kebab,Kebab J, 14.1 oz,690,56,26,58
Sauce Kebab,Pita Kebab, 20 g,136,0,15,0
Kebab frittes,Kebab, 100 g,115,26,2,1
Durum Kebab Kip,Kebab, 1 kleine kebab,600,55,20,30
Lula Kebab ,Lula Kebab, 120 g,220,5,18,20
Tortilla Kebab Czarownice,Kebab, 1 porcja,688,74,25,38
Kebab,Doner Kebab, 100 gram,280,5,20,21
Kebab,Beyti Kebab, 1 plate,878,55,57,34
kebab,Västerås kebab, 100 g,250,9,20,17
Kebab,Beef Tikka Kebab, 1 serving,160,5,4,26
Home Made,Narkel Chini Naru, 35 g,92,17,3,0
Naru Naru Gumi no Mi,Kracie, 1 serving,62,15,0,0
Narkel Nadu With Jaggery,Homemade, 1 nadu,100,0,0,0
Granola natu,Naru, 100 gram,484,39,30,6
mini narkel puri ,crown, 1 cup,362,44,14,12
Tarte Au Chocolat Façon Naru,Fait Maison, 100 g,267,23,18,3
quitutes caseiros naru,pao de mel, 3 unidades,165,27,5,3
the Most Accurate One!,Generic Narkeler Naru, 1 cup,100,1,1,50
broa de côco com cobertura de chocolate,Quitutes caseiros Naru, 30 grama,129,22,4,1
Kuse Ni Naru Kimuchi Dou Deshou (Kimchi),Kitanihon Food 北日本フード, 100 g,55,7,2,3
Piadina Kebab,Kebab, 1 porzione,630,60,30,30
Donna Kebab,Kebab, 0.5 kebab,250,60,20,35
Kyllinge Kebab,Kebab, 100 g,113,1,3,20
Kebab,Kebab pizza, 175 g,382,36,17,20
Kebab Plat,Kebab Plat, 1 plat,488,49,23,17
Durum Kebab,Durum Kebab, 100 g,229,22,9,12
Doner Kebab,Kebab J, 14.1 oz,690,56,26,58
Kebab frittes,Kebab, 100 g,115,26,2,1
Sauce Kebab,Pita Kebab, 20 g,136,0,15,0
Lula Kebab ,Lula Kebab, 120 g,220,5,18,20
Lula Kebab ,Lula Kebab, 120 g,220,5,18,20
Tortilla Kebab Czarownice,Kebab, 1 porcja,688,74,25,38
Kebab,Doner Kebab, 100 gram,280,5,20,21
Kebab,Beyti Kebab, 1 plate,878,55,57,34
kebab,Västerås kebab, 100 g,250,9,20,17
Kebab Z Frytkami,Kebab, 400 g,700,54,54,36
Kebab,Beef Tikka Kebab, 1 serving,160,5,4,26
Rollo Kebab,Rollo Kebab, 1 taza,620,77,17,37
Kebab Wrap,France Kebab, 1 wrap,392,40,20,12
Chicken Kebab,Sticks Kebab Shop, 1 kebab,190,0,8,27
Hariyali Kebab,Restaurant, 59.5 g,200,31,3,14
Chicken Hariyali Kebab,Venky's, 100 gm,174,8,9,15
Chicken Hariyali kebab,Koch how, 100 gram,200,3,15,15
the Most Accurate One!,Generic Hariyali Kebab, 1 cup,100,1,1,50
Chicken,Hariyali Chicken, 250 g,202,2,3,18
Chicken Hariyali,Indian Restaurant, 1 serving,442,16,28,36
Paneer Hariyali,Deep Foods, 0.5 container,170,8,13,4
Hariyali bites,Yummiez, 100 g,182,24,8,4
Chicken Hariyali Tikka,Venky’s Chicken Hariyali Tikka, 100 gm,153,4,7,18
Paneer Hariyali,Laxmi Brand, 100 g,180,21,8,6
Paneer Hariyali,Laxmi Brand, 100 g,180,21,8,6
Masoor Hariyali Dal,Generic, 0.5 c. cooked,106,40,0,16
Sabz Miloni Hariyali,Vepura, 400 Gramm,552,60,27,14
Patty,Hariyali corn burger, 1 patty,140,17,7,3
chicken hariyali kabab,venky's, 101 gms,174,8,9,16
Hariyali Khakra,Kharamora, 100 gram,427,52,21,9
Hariyali Raita,Shafina, 0.75 cup,56,7,2,3
Hariyali Murgh,Wash U, 4 oz,100,1,2,18
Paneer Hariyali,Deep's Mirch Masala, 141 g (5 oz) or 1/2 container,170,8,13,4
Piadina Kebab,Kebab, 1 porzione,630,60,30,30
Dry,Chitay Sholay, 0.25 cups dry,120,22,0,7
Piadina Kebab,Kebab, 1 porzione,630,60,30,30
Donna Kebab,Kebab, 0.5 kebab,250,60,20,35
Kyllinge Kebab,Kebab, 100 g,113,1,3,20
Kebab,Kebab pizza, 175 g,382,36,17,20
Kebab Plat,Kebab Plat, 1 plat,488,49,23,17
Durum Kebab,Durum Kebab, 100 g,229,22,9,12
Doner Kebab,Kebab J, 14.1 oz,690,56,26,58
Sauce Kebab,Pita Kebab, 20 g,136,0,15,0
Kebab frittes,Kebab, 100 g,115,26,2,1
Lula Kebab ,Lula Kebab, 120 g,220,5,18,20
Durum Kebab Kip,Kebab, 1 kleine kebab,600,55,20,30
Tortilla Kebab Czarownice,Kebab, 1 porcja,688,74,25,38
Kebab,Doner Kebab, 100 gram,280,5,20,21
Kebab,Beyti Kebab, 1 plate,878,55,57,34
kebab,Västerås kebab, 100 g,250,9,20,17
Kebab,Beef Tikka Kebab, 1 serving,160,5,4,26
Kebab Z Frytkami,Kebab, 400 g,700,54,54,36
Rollo Kebab,Rollo Kebab, 1 taza,620,77,17,37
Kebab Wrap,France Kebab, 1 wrap,392,40,20,12
Gulgule - Sweet Pakoda,Homemade, 1 piece,40,0,0,0
Moti,Satsumaya Shiro Moti, 40 g 1 unit,54,12,3,8
moti,moti kandy, 100 grama,100,36,0,3
Baunilha,Moti-Moti, 30 g,60,14,0,0
Manga,Moti-Moti, 33 g,65,13,1,2
Sorvete,Moti-moti, 1 unidade,78,14,1,3
Moti morango,Moti, 1 uni,65,13,1,2
motitella,Moti Moti, 33 g,63,12,1,2
Morango,Moti-Moti, 30 g,67,14,1,1
Shiro moti,Naka-moti, 40 g,98,22,0,2
Chocolate belga,Moti-Moti, 30 g,68,14,1,1
Moti,Castella, 50 g,112,25,0,2
Moti ,Satsuyama, 1 unidades,47,11,0,1
Mochi Ice Cream,Moti-Moti, 30 grama,60,14,0,0
namkeen,moti, 51 gms,574,41,41,13
Anko Moti,Generic, 1 unidade,95,20,1,2
Moti,Эка, 100 гр,269,42,10,3
Moti,Obuti, 1 unidade,99,21,1,1
Moti,Osonae Moti mini maneki neko, 60 grama,144,33,0,2
Moti Choor Laddu,Haldiram, 1 (34g),140,16,8,2
Bolinho Arroz Japonês,Moti, 100 g,192,45,0,3
Pav Bhaji Without Pav/Bread,Pav Bhaji-W/O Pav, 1 cup,160,18,9,3
Pav Bhaji,Homemade, 1 cup,118,19,4,5
Pav Bhaji (Without Pav),Homemade, 150 g,160,18,9,3
Pav,Haldiram Bhaji Pav, 1 piece,63,13,0,2
Pav Bhaji,Ashoka, 140 g (1/2 package),120,17,4,3
Pav Bhaji,Heera, 225 g,272,23,17,7
Pav Bhaji,Ab, 100 g,66,9,2,2
PAV BHAJI PAV,Manbhari, 100 gram,304,53,7,7
Pav Bhaji,Kohinoor, 100 g,94,10,5,2
Pav Bhaji,"Shafina, 1 cup"," 1 cup, 200 grams cooked",150,23,3,5
Pav Toasted With Butter,Pav Bhaji, 1 pav,100,0,0,0
Pav Bhaji,Pattu, 100 g,102,4,9,2
Indian Pav Bhaji (Incl Pav),Homemade, 1 Plate with 1/2 Pavs,200,47,12,7
Pav Bhaji,Swad, 140 grams,170,8,12,9
Pav Bhaji,Bela, 1 cup,200,0,0,0
pav bhaji,vegit, 1 bowl,351,0,0,0
Indian Pav Bhaji,Generic, 0.5 cup cooked,210,16,15,2
Pav  Bhaji,Sanskriti, 100 g,120,0,7,0
Pav Bhaji,Vadilal, 142 grans,252,18,17,3
Pav Bhaji,Vimal, 150 g,196,15,13,4
Kakori Kebab,Generic, 1 kabab,400,0,25,0
Mutton Kakori Kebabs,Snx, 100 gm,167,2,8,22
Piadina Kebab,Kebab, 1 porzione,630,60,30,30
Donna Kebab,Kebab, 0.5 kebab,250,60,20,35
Kyllinge Kebab,Kebab, 100 g,113,1,3,20
Kebab,Kebab pizza, 175 g,382,36,17,20
Kebab Plat,Kebab Plat, 1 plat,488,49,23,17
Durum Kebab,Durum Kebab, 100 g,229,22,9,12
Doner Kebab,Kebab J, 14.1 oz,690,56,26,58
Kebab frittes,Kebab, 100 g,115,26,2,1
Sauce Kebab,Pita Kebab, 20 g,136,0,15,0
Durum Kebab Kip,Kebab, 1 kleine kebab,600,55,20,30
Lula Kebab ,Lula Kebab, 120 g,220,5,18,20
Tortilla Kebab Czarownice,Kebab, 1 porcja,688,74,25,38
Kebab,Doner Kebab, 100 gram,280,5,20,21
Kebab,Beyti Kebab, 1 plate,878,55,57,34
kebab,Västerås kebab, 100 g,250,9,20,17
Kebab Z Frytkami,Kebab, 400 g,700,54,54,36
Kebab,Beef Tikka Kebab, 1 serving,160,5,4,26
the Most Accurate One!,Generic Kakori Kabab, 1 cup,100,1,1,50
Barbeque Chicken,Barbeque Chicken, 1 chicken part with sauce,176,0,5,0
Barbeque Chicken,Lloyd's, 0.25 cup,90,9,3,6
Barbeque Chicken,Tysen, 1 piece chicken,180,18,8,10
Barbeque Chicken Wing,Chicken, 1 wing,154,0,11,15
Shredded Barbeque Chicken,Lloyd's Barbeque Company, 0.25 cup,80,9,2,6
Barbeque Chicken,School, 2 chicken,300,33,10,20
Barbeque Chicken,Lloyd's Barbeque Company, 0.25 Cup,90,0,0,0
Barbeque Chicken,Hawaiin, 1 piece of chicken,236,38,2,18
Barbeque Chicken,Tyson, 4 oz,230,5,17,15
Barbeque Chicken,Root's, 3 oz,122,8,3,16
Barbeque,Filipino barbeque, 55 g,120,11,4,10
Chicken Leg Barbeque,Homemade, 3 Leg,180,0,9,17
Barbeque Chicken,Famous Dave's, 0.25 chicken,440,13,27,37
"Chicken Breast, Barbeque",Generic, 1 Piece,100,0,0,10
Barbeque Chicken Drumstick,Tesco, 2 drumsticks,155,5,6,22
Barbeque Shredded Chicken,Lloyds, 0.25 cup,90,9,3,6
Barbeque Chicken Pizza,Generic, 1 slice,200,24,5,9
Barbeque Chicken Pizza,Domino's, 1 slice,285,32,13,10
Barbeque Chicken Chunks,Tesco, 90 g,121,5,2,21
Barbeque Chicken Sandwich,Generic, 1 sandwich,390,49,9,34
Prawn Crackers (Barbeque),Calbee, 0.333333 bag (30g),140,22,5,2
Barbeque,Filipino barbeque, 55 g,120,11,4,10
Barbeque Sauce,Dickeys Barbeque, 2 Tbsp,35,9,0,0
Prawn Boiled,Prawn, 1 piece,7,0,0,1
Barbeque,Sonic Barbeque, 1 serving (28.0 g),45,11,0,0
Barbeque Sauce,Dinosaur Barbeque, 2 TBSP,28,7,0,0
Barbeque,Popchips, 28 g  (20 chips),120,18,4,2
Barbeque Pulled Pork,Pork Barbeque, 5 oz (140g),330,12,13,18
Original Barbeque Sauce,Dickie's Barbeque, 2 tbsps,30,8,0,0
Barbeque Wing,Panini Barbeque Wing, 1 Wing,60,3,3,6
Prawn - Large Tiger,Prawn, 1 pc (20 g),20,0,0,5
Tempura Prawn,Tempura Prawn, 1 pcs,110,8,7,3
Barbeque (4oz.),Lawler's Barbeque, 4 oz.,250,0,0,0
Tesco Prawn,Tesco Prawn, 100 g,67,0,1,16
Barbeque Chicken,Barbeque Chicken, 1 chicken part with sauce,176,0,5,0
Prawn Fritter,Prawn Fritter, 1 pcs,84,3,6,5
Barbeque Tofu,Soulkofa Barbeque Tofu, 7.5 ounces,255,23,6,52
Barbeque,Lay's, 1 Package (42.5 g),230,24,14,3
Barbeque,Popchips, 28 g  (20 chips),120,18,4,2
Barbeque Pulled Pork,Lloyd's Barbeque Company, 0.25 cup,80,8,2,7
Barbeque Paneer Sandwich,Zippy, 2 pieces,275,18,8,30
Paneer,paneer, 28 g,100,0,8,6
Cheese Paneer,Paneer, 28 g,100,0,8,6
Paneer,Malai paneer, 1 cup,366,2,31,21
Paneer,Haldiram paneer, 1.05 oz,90,2,7,4
Paneer,Savera Paneer (Canada), 30 g,90,1,7,6
paneer curry,paneer curry, 100 gm,108,6,7,5
Paneer,Homemade Paneer, 129 g,65,0,0,0
Paneer,Soya Paneer, 50 gram,70,4,0,7
paneer tika ,paneer tiks, 150 g,183,20,8,8
Barbeque,Filipino barbeque, 55 g,120,11,4,10
Paneer 50gm,Paneer, 50 gm,133,1,10,9
Paneer,Jersey Paneer, 100 gm,291,4,23,17
Cow Milk Paneer,Paneer, 100 gms,99,9,5,6
Paneer,Nanak, 30 g,90,1,7,6
Paneer,Homemade, 1 cup,100,0,8,6
Paneer,Savera, 100 g,170,5,8,21
Barbeque Sauce,Dickeys Barbeque, 2 Tbsp,35,9,0,0
Paneer cheese,Paneer, 1 oz,90,0,7,6
Paneer,Gopi, 1 oz,90,1,7,6
Fried Fish With Sauce,Dory Fish With Barbeque Sauce, 1 plate,388,21,19,33
Barbeque,Filipino barbeque, 55 g,120,11,4,10
Barbeque Sauce,Dickeys Barbeque, 2 Tbsp,35,9,0,0
Barbeque,Sonic Barbeque, 1 serving (28.0 g),45,11,0,0
Barbeque Sauce,Dinosaur Barbeque, 2 TBSP,28,7,0,0
Barbeque,Popchips, 28 g  (20 chips),120,18,4,2
Barbeque Pulled Pork,Pork Barbeque, 5 oz (140g),330,12,13,18
Original Barbeque Sauce,Dickie's Barbeque, 2 tbsps,30,8,0,0
Barbeque Wing,Panini Barbeque Wing, 1 Wing,60,3,3,6
Barbeque Chicken,Barbeque Chicken, 1 chicken part with sauce,176,0,5,0
Barbeque (4oz.),Lawler's Barbeque, 4 oz.,250,0,0,0
Barbeque Tofu,Soulkofa Barbeque Tofu, 7.5 ounces,255,23,6,52
Barbeque,Lay's, 1 Package (42.5 g),230,24,14,3
Barbeque,Popchips, 28 g  (20 chips),120,18,4,2
Barbeque Pulled Pork,Lloyd's Barbeque Company, 0.25 cup,80,8,2,7
Sweet City Barbeque Sauce,City Barbeque, 2 T,100,26,0,0
Barbeque Sauce (2018),Spring Creek Barbeque, 2 fl. oz.,60,14,0,0
Barbeque Hash,Barbeque Hash - Generic, 4.5 oz,165,8,7,16
Barbeque,Pringles, 1.1 oz,150,15,9,1
Barbeque Shredded Beef,Lloyd's Barbeque Company, 0.25 Cup,90,10,3,6
Luchi - Small,Homemade, 1 piece,85,0,6,0
Luchi,Homemade Brown, 1 luchi,84,15,2,3
Luchi (Bengali Deep-Fried Flatbread),Homemade, 1 flatbread,140,0,10,0
Frozen Yogurt,Luchi and Joey's, 0.5 cup,90,20,0,3
the Most Accurate One!,Generic Luchi, 1 cup,100,1,1,50
White Flour,Khamiri Roti, 0.5 cup cooked,180,30,5,5
Roti,Roti, 4 bakje,122,16,6,2
Tawa Roti,Roti, 10 cm slice,106,22,1,4
Roti,Tandoori Roti, 1 roti,120,20,3,4
Roomali Roti,Roti, 1 roti (large),80,10,1,2
Steak Roti,Roti, 3.8 oz,260,3,16,27
Roti,Trinidad Roti, 1 roti,325,36,17,8
Roti Lam,Roti, 1 portie,815,78,33,53
Akki Roti Rice Roti,Akki Roti, 1 Roti,152,30,2,3
Roti,Roti Atta, 0.25 cup,120,20,1,4
roti plaat,roti, 1 stuk,279,34,13,6
Roti,Knorr Roti, 2 pannenkoeken,450,49,12,29
roti,roti porc, 100 gr,203,1,14,20
Dhalpuri roti,Roti, 0.5 Pits,350,58,2,17
Roti Chapati,Roti Land, 1 (57g),160,26,5,4
Chicken Roti Sandwich,Roti, 1 Sandwhich,657,76,19,46
Roti Gandum,Sari Roti, 2 slices (70 gr),190,32,4,6
Roti Coklat,Sari Roti, 1 bungkus,280,40,10,5
Roti,Desi Roti, 1 Roti  (33g),100,15,4,3
Roti Tawar,Sari Roti, 2 slices (73gr),200,36,3,6
Egg Kothu Parotta,Egg Factory, 1 plate,220,0,8,4
Mutton Kothu Parotta,Generic, 375 grams,845,0,46,0
Chicken Kothu Parotta,Street Side, 1 plate,492,46,22,25
Kothu Parotta Mutton,Generic, 375 grams,845,71,46,36
Chilli Kothu Parotta,Daily Delight, 100 gram,220,29,10,4
Parotta,Malabar parotta, 1 pc,374,48,16,9
Parotta,Generic, 2 Pieces,274,55,8,7
Parotta,Prince, 2 piece,408,75,7,10
Kothu,Niru, 101 g,270,52,5,7
parotta,annam, 2 stuk,376,77,7,10
Mutton Kothu Roti,Homemade, 1 cup,550,50,4,25
Kothu Rotti (Chopped),Niru, 75 g,290,53,6,6
Kothu Porotta (Chopped),Mathangi, 2 pieces (140g),407,77,7,10
Parotta,MMRF, 2 pieces,317,55,8,7
parotta,shanker, 1 cub,376,0,0,0
Parotta,Eastern, 1 parotta,257,45,5,8
Chicken Kothu Roti,Curry, 1 serving,491,46,22,25
Hhh,Parotta, 120 Gramm,407,77,7,10
Malabar parotta,Ruchi, 2 pieces,256,45,5,8
Malabar Parotta,Applé, 1 Parotta,268,35,11,6
Lachcha Paratha,Generic, 100 g,350,45,15,8
Lachcha Paratha,Maya’s, 1 pc 80g,295,39,13,6
Lachcha Paratha,Ashoka, 100 gram,385,55,15,9
Masala lachcha paratha,Haldirams, 1 piece,195,22,10,3
Lachcha Paratha,Haldiram Minute Khana, 1 piece (60g),210,27,9,5
Frozen Lachcha Paratha (1 Paratha = 80 Gms),Vadilal Quick Treat, 80 gms,290,40,9,11
Paratha,Paratha, 1 piece,280,35,14,5
Paratha,Homestyle Paratha, 65 g,225,24,11,2
Paratha,Malasian Paratha, 80 g,265,35,12,5
milk lachcha ,haldiram, 100 gms,2523,58,29,8
Lachcha Shemai,Acme, 200 gm,626,56,31,10
lachcha bun ,Modern, 100 gram,320,57,6,8
Paratha Saag,Paratha Saag, 100 gms,228,33,8,5
Aalo Paratha,Paratha Aalo, 1 Cookeed,214,37,6,5
R-paratha,R-paratha, 1 piece,280,35,14,5
paratha,methi paratha, 1 roti,350,51,12,9
Plain Paratha,Maharaja Paratha Bread, 1 piece,260,39,9,5
Gobhi Paratha / Gobi Paratha,Haldiram's, 1 Paratha (100gm),200,22,8,6
Palak Paratha,Homemade Palak Paratha, 57 g,196,32,5,5
Paratha Roll Kababa,Paratha Roll, 1 roll,290,34,14,6
R-jowar Roti,R- Jowar Roti, 1 piece,49,10,0,2
Jowar Roti,Wheatos, 1 roti,88,18,1,2
Jowar Roti,Home Made, 100 gm,349,73,2,10
Roti,Jowar Atta, 100 gram,375,77,3,10
Roti,Swad Jowar Flour, 30 gram,126,24,2,3
Homemade,Jowar Roti, 1 Roti,49,10,0,2
Jonna Roti,Deep Jowar Flour, 0.25 (30g) cup flour,117,24,1,3
Jowar Ki Roti (Priya's),Homemade, 1 roti,84,18,1,3
Jowar Roti (Indian Sorghum Bread),Generic, 1 piece about 100g,179,32,4,6
Bhakari / Jwari Bhakari / Jowar Bhakari / Jowar Roti / Sorghum Bread,Homemade (Sujay), 2 nos. (258.5g),291,64,5,2
Gluten Free Indian Flatbread,Aayi's Jowar Roti, 1 piece,80,18,1,3
Jowar Wheat Mixed Roti,My Home-Made, 1 medium,105,23,1,4
Jowar Bhakri,Homemade, 1 cooked,75,16,0,2
Jowar,Dunkirk, 100 g,339,75,3,11
popped jowar,poushtik, 1 bowl,366,84,1,10
Jowar Na Rotla,Indian, 1 serving,180,30,4,5
"Wheat, Jowar, Bajra",Parantha, 1 piece,100,39,9,5
Jowar Flour,Swad, 30 gms,113,23,1,3
Sorghum Flour (Jowar),Generic, 100 g,329,75,3,11
Roti,Roti, 4 bakje,122,16,6,2
Homemade,Dabeli, 1 Piece,197,30,8,6
Kacchi Dabeli,Generic, 1 (80 gms),197,27,8,6
Dabeli,Govardhan, 1 piece,197,30,8,6
Dabeli masala,Kapol, 10 gram,365,24,8,16
Dabeli ,Sai Lila, 1 gram,260,47,6,6
Dabeli Masala,H.K. Gopal, 28 gram,110,19,3,2
dabeli bund,Raja Bakery, 42 grams,110,21,1,3
Daabeli or Dabeli,Babu's Pocket Sandwiches, 1 Pocket,360,37,22,5
Dabeli masala ,kapol masala, 10 gram,365,24,8,16
Baked Dabeli Pav,Ashoka, 1 sandwich,165,24,6,4
Dabeli Masalo (Priyadarshi),Chandubhai Bhanushali Mandviwala, 100 g,350,70,6,4
Sena Khakhra,9 KhaKhra Dabeli, 2 Piece,100,10,5,4
Dabeli & Farali Kachori Masala,Ht's Shree Ganesh, 100 g,341,79,2,2
Wheat Crisps (Khakhra) dabeli flavor,Maniarr's, 1 pc,32,4,1,1
